ISIN,Tipo de instrumento,Clave,Serie,Tipo de colocación,Número de llamada de capital/suscripción,Fecha de pago,Títulos emitidos,Precio de colocación en MXN,Precio de colocación en moneda de origen,Monto colocado en MXN,Monto colocado en moneda de origen
MX1RAA0A0002,CKD,AA1CK,17,Emisión inicial,,11/04/2017,"7,800,000",100,100,"780,000,000","780,000,000"
MX1RAC170008,CKD,ACONCK,14,Emisión inicial,,23/05/2014,"4,000","100,000","100,000","400,000,000","400,000,000"
MX1RAC170008,CKD,ACONCK,14,Llamada de capital,1.0,04/11/2016,"5,434","50,000","50,000","271,700,000","271,700,000"
MX1RAC170008,CKD,ACONCK,14,Llamada de capital,2.0,24/07/2017,"10,355","25,000","25,000","258,875,000","258,875,000"
MX1RAC170008,CKD,ACONCK,14,Llamada de capital,3.0,25/08/2017,"48,997","12,500","12,500","612,462,500","612,462,500"
MX1RAC170008,CKD,ACONCK,14,Llamada de capital,4.0,29/06/2018,"53,500","6,250","6,250","334,375,000","334,375,000"
MX1RAC170008,CKD,ACONCK,14,Llamada de capital,5.0,11/01/2023,"39,215","3,125","3,125","122,546,875","122,546,875"
MX1RAC170016,CKD,ACONCK,19,Emisión inicial,,20/03/2019,"9,000","19,065","1,000","171,585,000","9,000,000"
MX1RAC170016,CKD,ACONCK,19,Llamada de capital,1.0,25/06/2019,"25,998","9,561",500,"248,566,878","12,999,000"
MX1RAC170016,CKD,ACONCK,19,Llamada de capital,2.0,18/02/2020,"91,996","4,645.75",250,"427,390,417","22,999,000"
MX1RAC1N0002,CERPI,ACTPI,19,Emisión inicial,,28/05/2019,"300,000","1,900.34",100,"570,102,000","30,000,000"
MX1RAC1N0002,CERPI,ACTPI,19,Llamada de capital,1.0,09/02/2021,"49,997","2,013.88",100,"100,687,958.36","4,999,700"
MX1RAC1N0002,CERPI,ACTPI,19,Llamada de capital,2.0,03/06/2021,"119,997","1,989.27",100,"238,706,432.19","11,999,700"
MX1RAC1N0002,CERPI,ACTPI,19,Llamada de capital,3.0,22/02/2022,"41,996","2,030.63",100,"85,278,337.48","4,199,600"
MX1RAC1N0002,CERPI,ACTPI,19,Llamada de capital,4.0,26/05/2022,"619,997","1,988.7",100,"1,232,988,033.9","61,999,700"
MX1RAC1N0002,CERPI,ACTPI,19,Llamada de capital,5.0,09/06/2023,"263,996","1,736.08",100,"458,318,175.68","26,399,600"
MX1RAD030003,CKD,ADMEXCK,09,Emisión inicial,,23/12/2009,"11,610,000",100,100,"1,161,000,000","1,161,000,000"
MX1RAG030000,CKD,AGCCK,12,Emisión inicial,,03/07/2012,"5,528,000",100,100,"552,800,000","552,800,000"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,1.0,22/07/2015,"12,443,211",50,50,"622,160,550","622,160,550"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,2.0,28/08/2015,"5,660,007",25,25,"141,500,175","141,500,175"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,3.0,18/12/2015,"2,127,996",12.5,12.5,"26,599,950","26,599,950"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,4.0,05/02/2016,"22,531,196",6.25,6.25,"140,819,975","140,819,975"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,5.0,15/03/2016,"69,544,796",3.125,3.125,"217,327,487.5","217,327,487.5"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,6.0,15/06/2016,"161,117,851",1.5625,1.5625,"251,746,642.19","251,746,642.19"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,7.0,29/08/2016,"250,604,794",0.7812,0.7812,"195,784,995.31","195,784,995.31"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,8.0,24/01/2017,"345,531,131",0.3906,0.3906,"134,973,098.05","134,973,098.05"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,9.0,06/03/2017,"129,854,050",0.1953,0.1953,"25,362,119.14","25,362,119.14"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,10.0,19/06/2017,"3,022,755,837",0.0977,0.0977,"295,190,999.71","295,190,999.71"
MX1RAG030000,CKD,AGCCK,12,Llamada de capital,11.0,30/05/2018,"3,271,352,316",0.0488,0.0488,"159,733,999.8","159,733,999.8"
MXCFAG060016,Fibra,AGRO,22,Emisión inicial,,09/12/2022,"24,420,463",40,40,"976,818,520","976,818,520"
MXCFAG060016,Fibra,AGRO,22,Contraprestación,,22/12/2022,"3,661,937",,,,
MX1RAI010026,CKD,AINDACK,18A,Emisión inicial,,13/03/2018,"8,800,000",100,100,"880,000,000","880,000,000"
MX1RAI010026,CKD,AINDACK,18A,Llamada de capital,1.0,24/06/2019,"2,399,993",50,50,"119,999,650","119,999,650"
MX1RAI010026,CKD,AINDACK,18A,Llamada de capital,2.0,30/09/2019,"2,039,992",25,25,"50,999,800","50,999,800"
MX1RAI010026,CKD,AINDACK,18A,Llamada de capital,3.0,30/04/2020,"4,199,987",12.5,12.5,"52,499,837.5","52,499,837.5"
MX1RAI010026,CKD,AINDACK,18A,Llamada de capital,4.0,10/08/2020,"76,239,987",6.25,6.25,"476,499,918.75","476,499,918.75"
MX1RAI010026,CKD,AINDACK,18A,Llamada de capital,5.0,14/04/2021,"22,399,987",3.125,3.125,"69,999,959.44","69,999,959.44"
MX1RAI010026,CKD,AINDACK,18A,Llamada de capital,6.0,11/11/2021,"526,079,987",1.5625,1.5625,"821,999,979.72","821,999,979.72"
MX1RAI010026,CKD,AINDACK,18A,Llamada de capital,7.0,20/12/2021,"213,759,985",0.78125,0.78125,"166,999,988.29","166,999,988.29"
MX1RAI010026,CKD,AINDACK,18A,Llamada de capital,8.0,22/03/2022,"4,508,158,438",0.390625,0.390625,"1,760,999,389.85","1,760,999,389.85"
MX1RAI010018,CKD,AINDACK,23,Emisión inicial,,14/06/2023,"3,966","100,000","100,000","396,600,000","396,600,000"
MX1RAI080003,CERPI,AIONPI,23,Emisión inicial,,16/02/2023,"9,585","1,853.83",100,"17,768,960.55","958,500"
MX1RAI080003,CERPI,AIONPI,23,Suscripción,1.0,11/08/2023,"63,230","1,707.67",100,"107,975,974.1","6,323,000"
MX1RAI080003,CERPI,AIONPI,23,Suscripción,2.0,12/10/2023,"41,953","1,824.07",100,"76,525,208.71","4,195,300"
MX1RAI080003,CERPI,AIONPI,23,Suscripción,3.0,25/07/2024,"89,516","1,774.38",100,"158,835,400.08","8,951,600"
MX1RAI080003,CERPI,AIONPI,23,Suscripción,4.0,24/10/2024,"59,999","1,934.2",100,"116,050,065.8","5,999,900"
MX1RAI080003,CERPI,AIONPI,23,Suscripción,5.0,21/11/2024,"89,999","2,013.32",100,"181,196,787","8,999,900"
MX1RAI080003,CERPI,AIONPI,23,Suscripción,6.0,05/05/2025,"243,531","1,958.68",100,"476,999,299.08","24,353,100"
MX1RAI080011,CERPI,AIONPI,23-2,Emisión inicial,,16/02/2023,"17,750","1,853.83",100,"32,905,482.5","1,775,000"
MX1RAI080011,CERPI,AIONPI,23-2,Suscripción,1.0,11/08/2023,"176,596","1,707.67",100,"301,567,691.32","17,659,600"
MX1RAI080011,CERPI,AIONPI,23-2,Suscripción,2.0,12/10/2023,"126,326","1,824.07",100,"230,427,466.82","12,632,600"
MX1RAI080011,CERPI,AIONPI,23-2,Suscripción,3.0,25/07/2024,"119,765","1,774.38",100,"212,508,620.7","11,976,500"
MX1RAI080011,CERPI,AIONPI,23-2,Suscripción,4.0,24/10/2024,"199,998","1,934.2",100,"386,836,131.6","19,999,800"
MX1RAI080011,CERPI,AIONPI,23-2,Suscripción,5.0,21/11/2024,"109,999","2,013.32",100,"221,463,187","10,999,900"
MX1RAI080011,CERPI,AIONPI,23-2,Suscripción,6.0,05/05/2025,"24,878","1,958.68",100,"48,728,041.04","2,487,800"
MX1RAI080029,CERPI,AIONPI,23-3,Emisión inicial,,16/02/2023,"8,165","1,853.83",100,"15,136,521.95","816,500"
MX1RAI080029,CERPI,AIONPI,23-3,Suscripción,1.0,11/08/2023,"110,170","1,707.67",100,"188,134,003.9","11,017,000"
MX1RAI080029,CERPI,AIONPI,23-3,Suscripción,2.0,12/10/2023,"81,717","1,824.07",100,"149,057,528.19","8,171,700"
MX1RAI080029,CERPI,AIONPI,23-3,Suscripción,3.0,25/07/2024,"50,715","1,774.38",100,"89,987,681.7","5,071,500"
MX1RAI080029,CERPI,AIONPI,23-3,Suscripción,4.0,24/10/2024,"79,998","1,934.2",100,"154,732,131.6","7,999,800"
MX1RAI080029,CERPI,AIONPI,23-3,Suscripción,5.0,21/11/2024,"49,999","2,013.32",100,"100,663,987","4,999,900"
MX1RAI080029,CERPI,AIONPI,23-3,Suscripción,6.0,05/05/2025,"11,584","1,958.68",100,"22,689,349.12","1,158,400"
MX1RAI080037,CERPI,AIONPI,24,Emisión inicial,,21/03/2024,"58,878","1,682.72",100,"99,075,188.16","5,887,800"
MX1RAI080037,CERPI,AIONPI,24,Suscripción,1.0,26/11/2024,"459,999","2,060.25",100,"947,712,939.75","45,999,900"
MX1RAI080045,CERPI,AIONPI,24-2,Emisión inicial,,21/03/2024,"60,890","1,682.72",100,"102,460,820.8","6,089,000"
MX1RAI080045,CERPI,AIONPI,24-2,Suscripción,1.0,03/04/2024,"451,499","1,670.32",100,"754,147,809.68","45,149,900"
MX1RAI080045,CERPI,AIONPI,24-2,Suscripción,2.0,04/09/2024,"8,998","1,981.68",100,"17,831,156.64","899,800"
MX1RAI080045,CERPI,AIONPI,24-2,Suscripción,3.0,26/11/2024,"229,998","2,060.25",100,"473,853,379.5","22,999,800"
MX1RAI080045,CERPI,AIONPI,24-2,Suscripción,4.0,07/07/2025,"67,541","1,875.4",100,"126,666,391.4","6,754,100"
MX1RAI080052,CERPI,AIONPI,24-3,Emisión inicial,,21/03/2024,"50,229","1,682.72",100,"84,521,342.88","5,022,900"
MX1RAI080052,CERPI,AIONPI,24-3,Suscripción,1.0,03/04/2024,"371,999","1,670.32",100,"621,357,369.68","37,199,900"
MX1RAI080052,CERPI,AIONPI,24-3,Suscripción,2.0,04/09/2024,"8,698","1,981.68",100,"17,236,652.64","869,800"
MX1RAI080052,CERPI,AIONPI,24-3,Suscripción,3.0,26/11/2024,"189,999","2,060.25",100,"391,445,439.75","18,999,900"
MX1RAI080052,CERPI,AIONPI,24-3,Suscripción,4.0,07/07/2025,"55,708","1,875.4",100,"104,474,783.2","5,570,800"
MX1RAI080060,CERPI,AIONPI,24-4,Emisión inicial,,26/11/2024,"15,467","2,060.25",100,"31,865,886.75","1,546,700"
MX1RAI080060,CERPI,AIONPI,24-4,Suscripción,1.0,20/03/2025,"99,999","2,028.3",100,"202,827,971.7","9,999,900"
MX1RAI080060,CERPI,AIONPI,24-4,Suscripción,2.0,20/05/2025,"86,998","1,947.8",100,"169,454,704.4","8,699,800"
MX1RAI080078,CERPI,AIONPI,24-5,Emisión inicial,,26/11/2024,"9,517","2,060.25",100,"19,607,399.25","951,700"
MX1RAI080078,CERPI,AIONPI,24-5,Suscripción,1.0,20/03/2025,"69,999","2,028.3",100,"141,978,971.7","6,999,900"
MX1RAI080078,CERPI,AIONPI,24-5,Suscripción,2.0,20/05/2025,"53,998","1,947.8",100,"105,177,304.4","5,399,800"
MX1RAL1B0007,CKD,ALLVPCK,18,Emisión inicial,,14/11/2018,"2,000,000",100,100,"200,000,000","200,000,000"
MX1RAL1B0007,CKD,ALLVPCK,18,Llamada de capital,1.0,24/01/2020,"2,499,996",50,50,"124,999,800","124,999,800"
MX1RAL1B0007,CKD,ALLVPCK,18,Llamada de capital,2.0,08/04/2020,"3,999,994",25,25,"99,999,850","99,999,850"
MX1RAL1B0007,CKD,ALLVPCK,18,Llamada de capital,3.0,09/12/2020,"7,999,992",12.5,12.5,"99,999,900","99,999,900"
MX1RAL1B0007,CKD,ALLVPCK,18,Llamada de capital,4.0,18/03/2021,"23,999,992",6.25,6.25,"149,999,950","149,999,950"
MX1RAL1B0007,CKD,ALLVPCK,18,Llamada de capital,5.0,08/10/2021,"15,359,992",3.125,3.125,"47,999,975.03","47,999,975.03"
MX1RAL1B0007,CKD,ALLVPCK,18,Llamada de capital,6.0,01/12/2021,"63,999,991",1.5625,1.5625,"99,999,985.96","99,999,985.96"
MX1RAL1B0007,CKD,ALLVPCK,18,Llamada de capital,7.0,02/09/2022,"98,394,362",0.78125,0.78125,"76,870,595.33","76,870,595.33"
MX1RAL1B0007,CKD,ALLVPCK,18,Llamada de capital,8.0,19/05/2025,"256,332,537",0.390625,0.390625,"100,129,897.27","100,129,897.27"
MX1RAL1N0003,CKD,ALTUM,24,Emisión inicial,,27/09/2024,"1,034,282",100,100,"103,428,200","103,428,200"
MX1RAL1N0003,CKD,ALTUM,24,Llamada de capital,1.0,27/03/2025,"1,963,235",50,50,"98,161,750","98,161,750"
MX1RAL1F0011,CKD,ALTUMCK,19-2,Emisión inicial,,22/07/2019,"2,026,000",100,100,"202,600,000","202,600,000"
MX1RAL1F0011,CKD,ALTUMCK,19-2,Llamada de capital,1.0,04/02/2020,"2,026,000",50,50,"101,300,000","101,300,000"
MX1RAL1F0011,CKD,ALTUMCK,19-2,Llamada de capital,2.0,14/04/2020,"4,052,000",25,25,"101,300,000","101,300,000"
MX1RAL1F0011,CKD,ALTUMCK,19-2,Llamada de capital,3.0,17/08/2020,"8,104,000",12.5,12.5,"101,300,000","101,300,000"
MX1RAL1F0011,CKD,ALTUMCK,19-2,Llamada de capital,4.0,26/11/2020,"16,208,000",6.25,6.25,"101,300,000","101,300,000"
MX1RAL1F0011,CKD,ALTUMCK,19-2,Llamada de capital,5.0,11/03/2021,"32,416,000",3.125,3.125,"101,300,000","101,300,000"
MX1RAL1F0011,CKD,ALTUMCK,19-2,Llamada de capital,6.0,18/05/2021,"64,832,000",1.5625,1.5625,"101,300,000","101,300,000"
MX1RAL1F0011,CKD,ALTUMCK,19-2,Llamada de capital,7.0,29/09/2021,"259,328,000",0.78125,0.78125,"202,600,000","202,600,000"
MX1RAL1F0029,CKD,ALTUMCK,19-3,Emisión inicial,,22/07/2019,"1,600,000",100,100,"160,000,000","160,000,000"
MX1RAL1F0029,CKD,ALTUMCK,19-3,Llamada de capital,1.0,04/02/2020,"1,600,000",50,50,"80,000,000","80,000,000"
MX1RAL1F0029,CKD,ALTUMCK,19-3,Llamada de capital,2.0,14/04/2020,"3,200,000",25,25,"80,000,000","80,000,000"
MX1RAL1F0029,CKD,ALTUMCK,19-3,Llamada de capital,3.0,17/08/2020,"6,400,000",12.5,12.5,"80,000,000","80,000,000"
MX1RAL1F0029,CKD,ALTUMCK,19-3,Llamada de capital,4.0,26/11/2020,"12,800,000",6.25,6.25,"80,000,000","80,000,000"
MX1RAL1F0029,CKD,ALTUMCK,19-3,Llamada de capital,5.0,11/03/2021,"25,600,000",3.125,3.125,"80,000,000","80,000,000"
MX1RAL1F0029,CKD,ALTUMCK,19-3,Llamada de capital,6.0,18/05/2021,"50,432,000",1.5625,1.5625,"78,800,000","78,800,000"
MX1RAL1F0029,CKD,ALTUMCK,19-3,Llamada de capital,7.0,29/09/2021,"203,264,000",0.78125,0.78125,"158,800,000","158,800,000"
MX1RAL1F0037,CKD,ALTUMCK,22,Emisión inicial,,06/04/2022,"1,405,882",100,100,"140,588,200","140,588,200"
MX1RAL1F0037,CKD,ALTUMCK,22,Llamada de capital,1.0,16/08/2022,"2,811,764",50,50,"140,588,200","140,588,200"
MX1RAL1F0037,CKD,ALTUMCK,22,Llamada de capital,2.0,11/11/2022,"5,623,495",25,25,"140,587,375","140,587,375"
MX1RAL1F0037,CKD,ALTUMCK,22,Llamada de capital,3.0,26/04/2023,"11,247,036",12.5,12.5,"140,587,950","140,587,950"
MX1RAL1F0037,CKD,ALTUMCK,22,Llamada de capital,4.0,17/08/2023,"22,494,099",6.25,6.25,"140,588,118.75","140,588,118.75"
MX1RAM070008,CKD,AMBCK,10,Emisión inicial,,30/07/2010,"33,000,000",100,100,"3,300,000,000","3,300,000,000"
MX1RAM200001,CKD,AMICK,18,Emisión inicial,,02/02/2018,"5,000,000",100,100,"500,000,000","500,000,000"
MX1RAM200001,CKD,AMICK,18,Llamada de capital,1.0,30/08/2021,"5,000,000",50,50,"250,000,000","250,000,000"
