ISIN,Tipo de instrumento,Clave,Serie,Ticker Bloomberg,Ticker en Refinitiv,Administrador,Grupo al que pertenece el Administrador,Fiduciario,Número de fideicomiso,Representante común,Monto máximo en MXN,Monto máximo en moneda de origen,Títulos autorizados,Moneda,Llamadas de capital,Sectores de inversión/Tipo de inmueble,Sector Preponderante,Fecha de emisión,Valuador independiente,Serie adicional u optativa,Auditor externo,Bolsa,Plazo (días),Estado
MX1RAA0A0002,CKD,AA1CK,17,AA1CK17 MM,"AA1CK17=MCO
AA1CK17=BIV
AA1CK17=MX","ACTIVOS ALTERNATIVOS, S. DE R.L. DE C.V.",DISCOVERY,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",3015,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE","3,900,000,000","3,900,000,000",,MXN,Sí,Empresarial,Capital Privado,11/04/2017,"KPMG Cárdenas Dosal, S.C.",No,"Deloitte (Galaz, Yamazaki, Ruiz Urquiza, S.C)",BMV,"2,514",Cancelado
MX1RAC170008,CKD,ACONCK,14,ACONCK14 MM,"ACONCK14=MCO
ACONCK14=BIV
ACONCK14=MX","ALAOF MANAGEMENT MÉXICO, S. DE R.L. DE C.V.",ACON INVESTMENTS L.L.C,"BANCO CITI MÉXICO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO CITI MÉXICO",176123,"MONEX CASA DE BOLSA, S.A. DE C.V.","2,000,000,000","2,000,000,000",,MXN,Sí,"Empresarial, Energía",Capital Privado,23/05/2014,414 Capital Inc.,No,"Deloitte (Galaz, Yamazaki, Ruiz Urquiza, S.C)",BMV,"4,567",Activo
MX1RAC170016,CKD,ACONCK,19,ACONCK19 MM,"ACONCK19=MCO
ACONCK19=BIV
ACONCK19=MX","ALAOF MANAGEMENT MÉXICO, S. DE R.L. DE C.V.",ACON INVESTMENTS L.L.C,"BANCO CITI MÉXICO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO CITI MÉXICO",176123,"MONEX CASA DE BOLSA, S.A. DE C.V.","857,925,000","45,000,000",,USD,Sí,"Empresarial, Energía",Capital Privado,20/03/2019,414 Capital Inc.,Sí,"Deloitte (Galaz, Yamazaki, Ruiz Urquiza, S.C)",BMV,"2,805",Activo
MX1RAC1N0002,CERPI,ACTPI,19,ACTPI19 MM,"ACTPI19=MCO
ACTPI19=BIV
ACTPI19=MX","ACTIS GESTOR DE CAPITAL MEXICO, S. DE R.L. DE C.V.",ACTIS LLP,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",3270,"MONEX CASA DE BOLSA, S.A. DE C.V.","2,850,510,000","150,000,000",,USD,Sí,"Activos financieros, Energía, Infraestructura",Fondo de Fondos,28/05/2019,414 Capital Inc.,No,Mancera S.C. (Ernst & Young México),BMV,"18,263",Activo
MX1RAD030003,CKD,ADMEXCK,09,ADMEXC09 MM,"ADMEXCK09=MCO
ADMEXCK09=BIV
ADMEXCK09=MX","ATLAS DISCOVERY MÉXICO, S. DE R.L. DE C.V.",ATLAS CAPITAL MANAGEMENT LLC,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",2917,"MONEX CASA DE BOLSA, S.A. DE C.V.","1,400,000,000","1,400,000,000",,MXN,No,Empresarial,Capital Privado,23/12/2009,"KPMG Cárdenas Dosal, S.C.",Sí,"Deloitte (Galaz, Yamazaki, Ruiz Urquiza, S.C)",BMV,"6,026",Activo
MX1RAG030000,CKD,AGCCK,12,AGCCK12 MM,"AGCCK12=MCO
AGCCK12=BIV
AGCCK12=MX",NORTHGATE CAPITAL MÉXICO S DE RL DE CV,"NORTHGATE CAPITAL, L.L.C.","HSBC MEXICO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO HSBC",306916,"MONEX CASA DE BOLSA, S.A. DE C.V.","2,764,000,000","2,764,000,000",,MXN,Sí,Empresarial,Capital Privado,03/07/2012,414 Capital Inc.,No,"BT CDMX, S.C. (Baker Tilly)",BMV,"5,294",Activo
MXCFAG060016,Fibra,AGRO,22,,"AGRO22.MCO
AGRO22.BIV
AGRO22.MX","AGRIPROFIN,  S.A. DE C.V.",,"BANCO ACTINVER, S.A. INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO ACTINVER",4755,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",,,"150,937,500",MXN,,Agroalimentario,Otro,09/12/2022,,,"Deloitte (Galaz, Yamazaki, Ruiz Urquiza, S.C)",BIVA,,Activo
MX1RAI010026,CKD,AINDACK,18A,AINDA18A MM,"AINDACK18A=MCO
AINDACK18A=BIV
AINDACK18A=MX","AINDA, ENERGÍA & INFRAESTRUCTURA, S.A.P.I. DE C.V.",,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",2695,"MONEX CASA DE BOLSA, S.A. DE C.V.","4,400,000,000","4,400,000,000",,MXN,Sí,"Energía, Infraestructura",Infraestructura y Energía en operación,13/03/2018,"Alvarez & Marsal México, S.C.",Sí,"BDO Castillo Miranda y Compañía, S.C.",BMV,"5,475",Activo
MX1RAI010018,CKD,AINDACK,23,AINDAC23 MM,"AINDACK23=MCO
AINDACK23=BIV
AINDACK23=MX","AINDA, ENERGÍA & INFRAESTRUCTURA, S.A.P.I. DE C.V.",,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",2695,"MONEX CASA DE BOLSA, S.A. DE C.V.","460,800,000","460,800,000",,MXN,No,"Energía, Infraestructura",Infraestructura y Energía en operación,14/06/2023,"Alvarez & Marsal México, S.C.",Sí,"BDO Castillo Miranda y Compañía, S.C.",BMV,"3,556",Activo
MX1RAI080003,CERPI,AIONPI,23,AIONPI23 MM,"AIONPI23=MCO
AIONPI23=BIV
AIONPI23=MX","KAWIIL CAPITAL, S.A. DE C.V.",,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",3963,"MONEX CASA DE BOLSA, S.A. DE C.V.","1,505,309,960","81,200,000",,USD,No,Activos financieros,Fondo de Fondos,16/02/2023,414 Capital Inc.,No,"Deloitte (Galaz, Yamazaki, Ruiz Urquiza, S.C)",BIVA,"18,263",Activo
