Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Target Industry Sector,Completion/Termination Date
M&A,2020-09-14,TracFone Wireless Inc,Verizon Communications Inc,America Movil SAB de CV,6552.74,Cash and Stock, ,Completed,Communications,2021-11-23
M&A,2021-04-13,Content & media asset/Grupo Televisa SAB,Univision Holdings Inc,Grupo Televisa SAB,4500.0,Cash and Stock, ,Pending,Communications,2021-12-31
M&A,2020-12-02,Infraestructura Energetica Nova SAB de CV,Sempra,,1701.49,Stock,8.31,Completed,Utilities,2021-05-28
M&A,2021-05-26,Mexico Telecom Partners,Potential Buyer,"Macquarie Mexico Infrastructure,Digital Bridge Holdings LLC",1000.0,Cash, ,Withdrawn,Communications,2021-11-30
M&A,2020-03-02,OTC & prescription pharmaceutical assets,Hypera SA,Takeda Pharmaceutical Co Ltd,825.0,Cash, ,Completed,Health Care,2021-01-29
M&A,2021-08-23,Grupo Lala SAB de CV,Private Investor,,519.06,Cash,5.31,Completed,Consumer Staples,2021-09-22
M&A,2021-09-13,OCESA Entretenimiento SA de CV,Live Nation Entertainment Inc,"Grupo Televisa SAB,Corp Interamericana de Entretenimiento SAB de CV",444.4,Cash and Stock, ,Completed,Communications,2021-12-06
M&A,2021-08-12,Infraestructura Energetica Nova SAB de CV,Sempra,,207.72,Cash,7.87,Completed,Utilities,2021-10-15
M&A,2021-02-02,Call centers & Cargo Business,Nebius Group NV,Vezet Group,178.0,Cash, ,Completed,Industrials,2021-02-02
M&A,2021-09-07,FIBRA HD Servicios SC,NFD SA de CV,,151.09,Stock, ,Completed,Real Estate,2021-10-14
M&A,2021-07-27,Real Estate portfolio/Northern and Bajio region,Corp Inmobiliaria Vesta SAB de CV,,107.75,Cash, ,Pending,N.A.,2021-12-31
M&A,2021-07-13,La Perla office complex,Fibra MTY SAPI de CV,,90.93,Cash, ,Completed,Financials,2021-07-13
M&A,2021-09-24,Maxcom Telecomunicaciones SAB de CV,Transtelco Acquisition III S de RL de CV,,74.09,Cash,16.63,Pending,Communications,2021-11-15
M&A,2022-02-15,Enmex SA de CV,Kerry Group PLC,,70.43,Cash, ,Completed,Health Care,2021-12-31
M&A,2021-09-29,Riviera Maya development project/Grupo Posadas SAB de CV,Unnamed Buyer,Grupo Posadas SAB de CV,59.8,Cash, ,Completed,Consumer Discretionary,2021-09-29
M&A,2021-06-25,"Ezentis Chile SA,Ezentis Peru SAC,Ezentis Colombia SAS,Ezentis Mexico SA. de CV,Ezentis Energia SpA y Tecnet SA",Integrum International Inc,Grupo Ezentis SA,52.16,Undisclosed, ,Pending,"Financials, Financials, Financials, Financials, Financials",2021-07-31
M&A,2021-01-14,Mineral property and mining operations,Qiangda Investments & Economics Co Ltd,Asia Broadband Inc,52.0,Cash, ,Completed,Materials,2021-01-14
M&A,2019-12-31,Electrical Wiring Interconnection System business,Latecoere SACA,Bombardier Inc,50.0,Cash, ,Completed,Utilities,2021-02-16
M&A,2021-03-25,Grupo Gayosso SA de CV,Servicios Funerarios GG,Advent International Corp,49.8,Cash, ,Completed,Consumer Discretionary,2021-03-25
M&A,2020-11-04,Dreams Puerto Aventuras Hotel & Resort/Mexico,Unnamed Buyer,Playa Hotels & Resorts NV,34.5,Cash, ,Completed,Consumer Discretionary,2021-02-08
M&A,2018-05-23,3 onshore areas/Mexico,Vista Energy SAB de CV,Jaguar Exploracion y Produccion SA de CV,27.5,Cash, ,Completed,Energy,2021-10-05
M&A,2020-07-28,Zimapan property & related assets/Hidalgo,Santacruz Silver Mining Ltd,Industrias Penoles SAB de CV,20.0,Cash, ,Completed,Materials,2021-04-26
M&A,2021-06-09,128 Pawn Stores/Mexico,EZCORP Inc,,18.82,Cash and Stock, ,Completed,Real Estate,2021-06-09
M&A,2021-07-27,222118 sq ft of industrial space/Mexico,FIBRA Prologis,,15.7,Cash, ,Completed,Real Estate,2021-07-27
M&A,2021-07-21,Panuco Property/Sinaloa,Vizsla Silver Corp,Minera Rio Panuco SA de CV,12.9,Cash and Stock, ,Pending,Materials,2021-08-10
M&A,2021-04-19,95852 sq ft logistics space/Mexico,Prologis Property Mexico SA de CV,,11.96,Cash, ,Completed,Real Estate,2021-04-19
M&A,2021-09-23,Road Track Holding SL,Ituran Location and Control Ltd,,11.2,Undisclosed, ,Completed,Industrials,2021-09-23
M&A,2021-07-21,Copala property/Sinaloa,Vizsla Silver Corp,Silverstone Resources SA de CV,10.39,Cash and Stock, ,Pending,Materials,2021-08-03
